date,agency_pmd,media_source,campaign,impressions,clicks,ctr,installs,conversion_rate,sessions,loyal_users,loyal_users_installs,total_cost,average_ecpi,app_name,device
2025-09-13,,moloco_int,OMA4_47NDhpcC_Moloco_sub4_sub5,18349,9836,0.5361,4,0.0004,8,0,0.0000,,,AirCroco Bombino,ios
2025-09-14,,Organic,,,,,1,,0,0,0.0000,,,AirCroco Bombino,ios
2025-09-16,,Organic,,,,,1,,0,0,0.0000,,,AirCroco Bombino,ios
2025-09-17,,Organic,,,,,1,,0,0,0.0000,,,AirCroco Bombino,ios
2025-09-18,,Organic,,,,,1,,0,0,0.0000,,,AirCroco Bombino,ios
2025-09-18,,Organic,,,,,2,,0,0,0.0000,,,Updraft Balloon,ios
2025-09-19,,Organic,,,,,4,,0,0,0.0000,,,Updraft Balloon,ios
2025-09-19,,moloco_int,PM34_r2hjyzpb012ci7ex778f_sub3_sub4_sub5_sub6_sub7_sub8,22512,9650,0.4287,50,0.0052,100,0,0.0000,,,Updraft Balloon,ios
2025-09-20,,Organic,,,,,14,,0,0,0.0000,,,Updraft Balloon,ios
2025-09-20,,moloco_int,PM34_r2hjyzpb012ci7ex778f_sub3_sub4_sub5_sub6_sub7_sub8,35940,15532,0.4322,87,0.0056,177,0,0.0000,,,Updraft Balloon,ios
2025-09-21,,Organic,,,,,14,,0,0,0.0000,,,Updraft Balloon,ios
2025-09-21,,moloco_int,PM34_r2hjyzpb012ci7ex778f_sub3_sub4_sub5_sub6_sub7_sub8,20055,12766,0.6365,34,0.0027,68,0,0.0000,,,Updraft Balloon,ios
