Date,Agency/PMD (af_prt),Media Source (pid),Campaign (c),Impressions,Clicks,CTR,Installs,Conversion Rate,Sessions,Loyal Users,Loyal Users/Installs,Total Cost,Average eCPI,app_id,app_name,app_platform
2025-09-11,None,moloco_int,AA_MountQuizmore_SGP_wDd1Zo3bc4URdiXT_ZAG_ACC17,220,91,0.4136,1,0.0110,2,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-09-11,None,moloco_int,GB_170_Mol_RDPInApp_Camp258,6895,2627,0.3810,26,0.0099,52,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-09-11,None,moloco_int,PM34_sub2_sub3_sub4_sub5_sub6_sub7_sub8,273,126,0.4615,1,0.0079,2,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-09-11,None,moloco_int,PM34_sub2_sub3_sub4_sub5_sub6_sub7_sub8 copy 06.09,545,259,0.4752,0,0.0000,0,0,N/A,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-09-12,None,Organic,None,N/A,N/A,N/A,42,N/A,0,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-09-12,None,moloco_int,AA_MountQuizmore_AUS_ijCVfwRgnLAmc8Ml_SEM_ACC13,1263,567,0.4489,0,0.0000,0,0,N/A,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-09-12,None,moloco_int,AA_MountQuizmore_BEL_ETTwvAJSwwpNGoBD_RBO_ACC28,724,321,0.4434,3,0.0093,6,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-09-12,None,moloco_int,AA_MountQuizmore_GRC_M4tdQvQM5GBJM9ai_RBO_ACC28,2976,1001,0.3364,3,0.0030,6,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-09-12,None,moloco_int,AA_MountQuizmore_GRC_bcmQwJ1GWSbIYaKQ_RBO_ACC28,216,88,0.4074,0,0.0000,0,0,N/A,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-09-12,None,moloco_int,AA_MountQuizmore_NLD_dNFgssus8YyBEM5P_ZAG_ACC14,42,13,0.3095,0,0.0000,0,0,N/A,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-09-12,None,moloco_int,AA_MountQuizmore_NLD_e0cxQuhug4fdhh22_SEM_ACC13,80,33,0.4125,0,0.0000,0,0,N/A,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-09-12,None,moloco_int,AA_MountQuizmore_NLD_rCyzjEdciR3a77kU_ZAG_ACC17,68,27,0.3971,0,0.0000,0,0,N/A,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-09-12,None,moloco_int,AA_MountQuizmore_SGP_GLeljPIfzUYqMooY_ZAG_ACC14,1693,562,0.3320,3,0.0053,6,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-09-12,None,moloco_int,AA_MountQuizmore_SGP_H0nO9gBzmyZlGpBK_SEM_ACC13,2033,807,0.3970,3,0.0037,6,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-09-12,None,moloco_int,AA_MountQuizmore_SGP_wDd1Zo3bc4URdiXT_ZAG_ACC17,1894,644,0.3400,2,0.0031,4,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-09-12,None,moloco_int,GB_170_Mol_RDPInApp_Camp258,10197,3926,0.3850,31,0.0079,62,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-09-12,None,moloco_int,PM34_sub2_sub3_sub4_sub5_sub6_sub7_sub8,2094,879,0.4198,2,0.0023,4,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-09-12,None,moloco_int,PM34_sub2_sub3_sub4_sub5_sub6_sub7_sub8 copy 06.09,117,47,0.4017,1,0.0213,2,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-09-13,None,Organic,None,N/A,N/A,N/A,42,N/A,0,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-09-13,None,moloco_int,AA_MountQuizmore_AUS_ijCVfwRgnLAmc8Ml_SEM_ACC13,1438,667,0.4638,0,0.0000,0,0,N/A,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-09-13,None,moloco_int,AA_MountQuizmore_GRC_MOGiRQkOcWZdSGfW_RBO_ACC28,2955,929,0.3144,3,0.0032,6,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-09-13,None,moloco_int,AA_MountQuizmore_GRC_bcmQwJ1GWSbIYaKQ_RBO_ACC28,1797,793,0.4413,0,0.0000,0,0,N/A,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-09-13,None,moloco_int,AA_MountQuizmore_NLD_dNFgssus8YyBEM5P_ZAG_ACC14,405,144,0.3556,1,0.0069,2,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-09-13,None,moloco_int,AA_MountQuizmore_NLD_e0cxQuhug4fdhh22_SEM_ACC13,733,288,0.3929,3,0.0104,6,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-09-13,None,moloco_int,AA_MountQuizmore_NLD_rCyzjEdciR3a77kU_ZAG_ACC17,494,188,0.3806,1,0.0053,2,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-09-13,None,moloco_int,AA_MountQuizmore_SGP_H0nO9gBzmyZlGpBK_SEM_ACC13,N/A,N/A,N/A,1,N/A,2,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-09-13,None,moloco_int,GB_170_Mol_RDPInApp_Camp258,13263,5318,0.4010,55,0.0103,110,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-09-13,None,moloco_int,PM34_sub2_sub3_sub4_sub5_sub6_sub7_sub8,1149,519,0.4517,1,0.0019,2,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-09-13,None,moloco_int,PM34_sub2_sub3_sub4_sub5_sub6_sub7_sub8 copy 06.09,1789,773,0.4321,1,0.0013,2,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-09-14,None,Organic,None,N/A,N/A,N/A,74,N/A,0,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-09-14,None,moloco_int,AA_MountQuizmore_AUS_ijCVfwRgnLAmc8Ml_SEM_ACC13,493,209,0.4239,1,0.0048,2,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-09-14,None,moloco_int,AA_MountQuizmore_GRC_MOGiRQkOcWZdSGfW_RBO_ACC28,801,246,0.3071,0,0.0000,0,0,N/A,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-09-14,None,moloco_int,GB_170_Mol_RDPInApp_Camp258,12879,5258,0.4083,35,0.0067,70,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-09-14,None,moloco_int,PM34_sub2_sub3_sub4_sub5_sub6_sub7_sub8,730,320,0.4384,1,0.0031,2,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-09-14,None,moloco_int,PM34_sub2_sub3_sub4_sub5_sub6_sub7_sub8 copy 06.09,1268,548,0.4322,1,0.0018,2,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-09-15,None,Organic,None,N/A,N/A,N/A,51,N/A,0,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-09-15,None,moloco_int,AA_MountQuizmore_NZL_JlaOkz21XUPVKw6Q_MIK_ACC1,322,117,0.3634,4,0.0342,8,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-09-15,None,moloco_int,GB_170_Mol_RDPInApp_Camp258,11862,4513,0.3805,31,0.0069,64,1,0.0323,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-09-15,None,moloco_int,PM34_sub2_sub3_sub4_sub5_sub6_sub7_sub8,796,356,0.4472,1,0.0028,2,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-09-15,None,moloco_int,PM34_sub2_sub3_sub4_sub5_sub6_sub7_sub8 copy 06.09,108,53,0.4907,0,0.0000,0,0,N/A,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-09-16,None,Organic,None,N/A,N/A,N/A,28,N/A,0,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
